"gwno","cow"
2,2
20,20
40,40
41,41
42,42
51,51
52,52
70,70
90,90
91,91
92,92
93,93
94,94
95,95
100,100
101,101
110,110
130,130
135,135
140,140
145,145
150,150
155,155
160,160
165,165
200,200
205,205
210,210
211,211
212,212
220,220
225,225
230,230
235,235
260,255
265,265
290,290
305,305
310,310
315,315
325,325
338,338
339,339
345,345
350,350
352,352
355,355
360,360
365,365
375,375
380,380
385,385
390,390
420,420
432,432
433,433
434,434
435,435
436,436
437,437
438,438
439,439
450,450
451,451
452,452
461,461
471,471
475,475
481,481
482,482
483,483
484,484
490,490
495,495
500,500
501,501
510,510
516,516
517,517
780,780
790,790
800,800
811,811
812,812
819,819
820,820
830,830
840,840
850,850
900,900
920,920
31,45
58,46
55,47
53,53
80,80
221,221
223,223
255,231
232,232
265,266
260,267
367,268
366,269
331,331
395,395
520,520
522,521
531,535
551,551
552,552
553,553
554,554
560,560
561,561
570,570
571,571
572,572
580,580
590,590
600,600
610,610
615,615
616,616
620,620
625,625
630,630
694,632
640,640
645,645
651,651
652,652
660,660
663,663
666,666
670,670
692,673
680,681
690,690
700,700
710,710
712,712
713,713
731,731
732,732
740,740
750,750
770,770
771,771
775,775
812,813
816,816
817,817
910,910
990,990
530,530
404,112
640,640
694,632
698,698
920,920
678,678
692,692
404,404
950,950
316,316
373,373
987,987
402,402
696,696
705,705
367,367
540,540
705,705
704,704
359,359
31,31
581,581
678,679
369,369
835,835
349,349
701,701
368,368
760,760
366,366
694,694
343,343
781,781
344,344
411,411
317,317
703,703
935,935
541,541
702,702
522,522
370,370
371,371
115,115
940,940
531,531
565,565
372,372
346,346
54,54
55,55
56,56
57,57
58,58
60,60
221,221
223,223
331,331
232,232
403,403
591,591
935,935
970,946
971,970
972,955
973,947
983,983
986,986
987,987
990,990
260,260
680,680
860,860
300,300
329,239
275,275
271,271
245,245
730,730
280,280
337,337
240,240
329,329
327,327
273,273
332,332
335,335
511,511
