iso3c,side_group,year,link_year_source,status3
BEN,Adja,1960,observed,included
BEN,Adja,1961,observed,included
BEN,Adja,1962,observed,included
BEN,Adja,1963,observed,included
BEN,Adja,1964,observed,included
BEN,Adja,1965,observed,included
BEN,Adja,1966,observed,included
BEN,Adja,1967,observed,included
BEN,Adja,1968,observed,excluded
BEN,Adja,1969,observed,excluded
BEN,Adja,1970,observed,included
BEN,Adja,1971,observed,included
BEN,Adja,1972,observed,included
BEN,Adja,1973,observed,included
BEN,Adja,1974,observed,included
BEN,Adja,1975,observed,included
BEN,Adja,1976,observed,included
BEN,Adja,1977,observed,included
BEN,Adja,1978,observed,included
BEN,Adja,1979,observed,included
BEN,Adja,1980,observed,included
BEN,Adja,1981,observed,included
BEN,Adja,1982,observed,included
BEN,Adja,1983,observed,included
BEN,Adja,1984,observed,included
BEN,Adja,1985,observed,included
BEN,Adja,1986,observed,included
BEN,Adja,1987,observed,included
BEN,Adja,1988,observed,included
BEN,Adja,1989,observed,included
BEN,Adja,1990,observed,included
BEN,Adja,1991,observed,included
BEN,Adja,1992,observed,included
BEN,Adja,1993,observed,included
BEN,Adja,1994,observed,included
BEN,Adja,1995,observed,included
BEN,Adja,1996,observed,included
BEN,Adja,1997,observed,included
BEN,Adja,1998,observed,included
BEN,Adja,1999,observed,included
BEN,Adja,2000,observed,included
BEN,Adja,2001,observed,included
BEN,Adja,2002,observed,included
BEN,Adja,2003,observed,included
BEN,Adja,2004,observed,included
BEN,Adja,2005,observed,included
BEN,Adja,2006,observed,included
BEN,Adja,2007,observed,included
BEN,Adja,2008,observed,included
BEN,Adja,2009,observed,included
BEN,Adja,2010,observed,included
BEN,Adja,2011,observed,included
BEN,Adja,2012,observed,included
BEN,Adja,2013,observed,included
BEN,Adja,2014,observed,included
BEN,Adja,2015,observed,included
BEN,Adja,2016,observed,included
BEN,Adja,2017,observed,included
BEN,Adja,2018,carry_forward,included
BEN,Adja,2019,carry_forward,included
BEN,Adja,2020,carry_forward,included
BEN,Adja,2021,carry_forward,included
BEN,Bariba,1960,observed,included
BEN,Bariba,1961,observed,included
BEN,Bariba,1962,observed,included
BEN,Bariba,1963,observed,included
BEN,Bariba,1964,observed,excluded
BEN,Bariba,1965,observed,excluded
BEN,Bariba,1966,observed,excluded
BEN,Bariba,1967,observed,excluded
BEN,Bariba,1968,observed,included
BEN,Bariba,1969,observed,included
BEN,Bariba,1970,observed,included
BEN,Bariba,1971,observed,included
BEN,Bariba,1972,observed,included
BEN,Bariba,1973,observed,included
BEN,Bariba,1974,observed,included
BEN,Bariba,1975,observed,included
BEN,Bariba,1976,observed,included
BEN,Bariba,1977,observed,included
BEN,Bariba,1978,observed,included
BEN,Bariba,1979,observed,included
BEN,Bariba,1980,observed,included
BEN,Bariba,1981,observed,included
BEN,Bariba,1982,observed,included
BEN,Bariba,1983,observed,included
BEN,Bariba,1984,observed,included
BEN,Bariba,1985,observed,included
BEN,Bariba,1986,observed,included
BEN,Bariba,1987,observed,included
BEN,Bariba,1988,observed,included
BEN,Bariba,1989,observed,included
BEN,Bariba,1990,observed,included
BEN,Bariba,1991,observed,included
BEN,Bariba,1992,observed,included
BEN,Bariba,1993,observed,included
BEN,Bariba,1994,observed,included
BEN,Bariba,1995,observed,included
BEN,Bariba,1996,observed,included
BEN,Bariba,1997,observed,included
BEN,Bariba,1998,observed,included
BEN,Bariba,1999,observed,included
BEN,Bariba,2000,observed,included
BEN,Bariba,2001,observed,included
BEN,Bariba,2002,observed,included
BEN,Bariba,2003,observed,included
BEN,Bariba,2004,observed,included
BEN,Bariba,2005,observed,included
BEN,Bariba,2006,observed,included
BEN,Bariba,2007,observed,included
BEN,Bariba,2008,observed,included
BEN,Bariba,2009,observed,included
BEN,Bariba,2010,observed,included
BEN,Bariba,2011,observed,included
BEN,Bariba,2012,observed,included
BEN,Bariba,2013,observed,included
BEN,Bariba,2014,observed,included
BEN,Bariba,2015,observed,included
BEN,Bariba,2016,observed,included
BEN,Bariba,2017,observed,included
BEN,Bariba,2018,carry_forward,included
BEN,Bariba,2019,carry_forward,included
BEN,Bariba,2020,carry_forward,included
BEN,Bariba,2021,carry_forward,included
