name	static	source_ids	label	unit	transform	plot_type
cru_tmp	FALSE	ac037134-3567-49d9-a3ba-64f37c1ee698	Mean temperature	°C	identity	continuous
cru_pre	FALSE	00575260-ad1c-4e87-a575-3922bc151f50	Precipitation	mm	identity	positive_real
cru_pet	FALSE	95399c70-7db4-47f0-95e5-2e279b6b2054	Potential evapotranspiration	mm/day	identity	positive_real
cshapes_cover_share	FALSE	ec3eea2e-6bec-40d5-a09c-e9c6ff2f8b6b	State territory coverage (share)		identity	share
cshapes_gwcode	FALSE	ec3eea2e-6bec-40d5-a09c-e9c6ff2f8b6b	Country (Gleditsch-Ward code)		identity	discrete
geoepr_reg_excluded	FALSE	287bfdf7-2f4f-402a-88df-5fe1f8b7046b, 3900b527-a728-4c26-b0ab-f4441d3ee2e8	Excluded ethnic groups (regional, share)		identity	share
bdist1	FALSE	ec3eea2e-6bec-40d5-a09c-e9c6ff2f8b6b	Distance to nearest land border	m	identity	positive_real
bdist2	FALSE	ec3eea2e-6bec-40d5-a09c-e9c6ff2f8b6b	Distance to nearest international border	m	identity	positive_real
bdist3	FALSE	ec3eea2e-6bec-40d5-a09c-e9c6ff2f8b6b	Distance to own country border	m	identity	positive_real
ghsl_population_grid	FALSE	ae6a7612-4bef-452f-acd6-d2212cf9a7c5	Population count	persons	log10	positive_real
hilda_cropland	FALSE	82bc4c6f-9904-484f-aa9a-77771d076690	Cropland cover (share)		identity	share
hilda_forest	FALSE	82bc4c6f-9904-484f-aa9a-77771d076690	Forest cover (share)		identity	share
hilda_grassland	FALSE	82bc4c6f-9904-484f-aa9a-77771d076690	Grassland cover (share)		identity	share
hilda_ocean	FALSE	82bc4c6f-9904-484f-aa9a-77771d076690	Ocean cover (share)		identity	share
hilda_pasture	FALSE	82bc4c6f-9904-484f-aa9a-77771d076690	Pasture cover (share)		identity	share
hilda_sparse	FALSE	82bc4c6f-9904-484f-aa9a-77771d076690	Sparse vegetation cover (share)		identity	share
hilda_urban	FALSE	82bc4c6f-9904-484f-aa9a-77771d076690	Urban cover (share)		identity	share
hilda_water	FALSE	82bc4c6f-9904-484f-aa9a-77771d076690	Water cover (share)		identity	share
linight_mean	FALSE	d99fbea7-2a01-4221-b900-29a58d33f591	Nighttime light (harmonized, mean)		identity	positive_real
naturalearth_cover	TRUE	92da9800-4520-4e87-a855-b28255452189	Land cover mask (share)		identity	share
naturalearth_cover_share	TRUE	92da9800-4520-4e87-a855-b28255452189	Land cover (share)		identity	share
ruggedterrain_elevation_mean	TRUE	8c8192eb-cc29-4598-8f8a-ec190ba35c2d	Mean elevation	m	identity	continuous
traveltime_mean	TRUE	9aa052f6-4d04-4ed1-9eed-e47e08828d38	Travel time to major city (mean)	minutes	identity	positive_real
traveltime_min	TRUE	9aa052f6-4d04-4ed1-9eed-e47e08828d38	Travel time to major city (minimum)	minutes	identity	positive_real
geopko_troops_count	FALSE	7dcbfbfb-9667-4684-af34-85f69fa8d0a0	UN peacekeeping troops (count)	personnel	log1p	count
geopko_operations_count	FALSE	7dcbfbfb-9667-4684-af34-85f69fa8d0a0	UN peacekeeping operations (count)		log1p	count
ne_disputed_area_share	TRUE	920663ad-d7e7-4528-b36d-4b7266def2b1	Disputed area coverage (share)		identity	share
speibase6_mean	FALSE	14839384-623a-4cf7-9241-6166a8ac465b, 95399c70-7db4-47f0-95e5-2e279b6b2054, 00575260-ad1c-4e87-a575-3922bc151f50	SPEI drought index (6-month, mean)		identity	continuous
ghs_wup_degurba_urban	FALSE	7f1f60a3-6664-4427-b086-b5359ebf45b7	Urban area (DEGURBA, share)		identity	share
ucdp_ged	FALSE	49f79d96-4e4d-4812-9dd1-862bacfca577	Battle-related deaths (UCDP GED)	deaths	log1p	count
shdi	FALSE	8aaf6b27-6372-43da-87a9-d4235095bb2c, a8e35e36-9f7e-4194-9cc4-ce8ca59f7b51, 8aaf6b27-6372-43da-87a9-d4235095bb2c	Subnational Human Development Index		identity	positive_real
msch	FALSE	8aaf6b27-6372-43da-87a9-d4235095bb2c, a8e35e36-9f7e-4194-9cc4-ce8ca59f7b51, 8aaf6b27-6372-43da-87a9-d4235095bb2c	Mean years of schooling	years	identity	positive_real
esch	FALSE	8aaf6b27-6372-43da-87a9-d4235095bb2c, a8e35e36-9f7e-4194-9cc4-ce8ca59f7b51, 8aaf6b27-6372-43da-87a9-d4235095bb2c	Expected years of schooling	years	identity	positive_real
lifexp	FALSE	8aaf6b27-6372-43da-87a9-d4235095bb2c, a8e35e36-9f7e-4194-9cc4-ce8ca59f7b51, 8aaf6b27-6372-43da-87a9-d4235095bb2c	Life expectancy at birth	years	identity	positive_real
gnic	FALSE	8aaf6b27-6372-43da-87a9-d4235095bb2c, a8e35e36-9f7e-4194-9cc4-ce8ca59f7b51, 8aaf6b27-6372-43da-87a9-d4235095bb2c	GNI per capita	1000 USD (2011 PPP)	identity	positive_real
side_excluded	FALSE	e42b30e3-75da-4dd4-a375-0d6557087804	Excluded ethnic population (share)		identity	share
side_included	FALSE	e42b30e3-75da-4dd4-a375-0d6557087804	Included ethnic population (share)		identity	share
side_irrelevant	FALSE	e42b30e3-75da-4dd4-a375-0d6557087804	Politically irrelevant ethnic population (share)		identity	share
