genfunction,group,variable_name,download_link,ready,hash
gen_cru_temp,cru,temp,NA,NA,NA
gen_cru_precip,cru,precip,NA,NA,NA
gen_cru_pet,cru,pet,NA,NA,NA
gen_cru_spei1,cru,spei1,NA,NA,NA
gen_cru_spei3,cru,spei3,NA,NA,NA
gen_cru_spei6,cru,spei6,NA,NA,NA
gen_cru_spei12,cru,spei12,NA,NA,NA
gen_cru_spei24,cru,spei24,NA,NA,NA
gen_cru_precip_seasonal,cru,seasonal_precip,NA,NA,NA
gen_cru_temp_seasonal,cru,seasonal_temp,NA,NA,NA
gen_pgland,cshp,pgland,NA,NA,NA
gen_changed_areas,cshp,cshpch,NA,NA,NA
gen_landarea,cshp,landarea,NA,NA,NA
gen_gwcode,cshp,gwcode,NA,NA,NA
gen_gwarea,cshp,gwarea,NA,NA,NA
gen_bdist1,cshp,bdist1,NA,NA,NA
gen_bdist2,cshp,bdist2,NA,NA,NA
gen_bdist3,cshp,bdist3,NA,NA,NA
gen_coastdist,gshhg,coastdist,NA,NA,NA
gen_riverdist,gshhg,riverdist,NA,NA,NA
gen_capdist,cshp,capdist,NA,NA,NA
gen_excluded,epr,excluded,NA,NA,NA
gen_gcp_mer,gecon,gcp_mer,NA,NA,NA
gen_gcp_ppp,gecon,gcp_ppp,NA,NA,NA
gen_gcp_qual,gecon,gcp_qual,NA,NA,NA
gen_gpw_pop,gpw,gpw_pop,NA,NA,NA
gen_gpw_popi,gwp,gpw_popi,NA,NA,NA
gen_mirca_gs,mirca,mirca_gs,NA,NA,NA
gen_mirca_area,mirca,mirca_area,NA,NA,NA
gen_diamprim_y,resource,diamprim_y,NA,NA,NA
gen_diamsec_y,resource,diamsec_y,NA,NA,NA
gen_diamonds_s,resource,diamonds_s,NA,NA,NA
gen_drug_y,resource,drug_y,NA,NA,NA
gen_gems_y,resource,gems_y,NA,NA,NA
gen_gems_s,resource,gems_s,NA,NA,NA
gen_goldplacer_y,resource,goldplacer_y,NA,NA,NA
gen_goldsurface_y,resource,goldsurface_y,NA,NA,NA
gen_goldvein_y,resource,goldvein_y,NA,NA,NA
gen_goldplacer_s,resource,goldplacer_s,NA,NA,NA
gen_goldsurface_s,resource,goldsurface_s,NA,NA,NA
gen_goldvein_s,resource,goldvein_s,NA,NA,NA
gen_petro_y,resource,petro_y,NA,NA,NA
gen_petro_s,resource,petro_s,NA,NA,NA
gen_esch,shdi,esch,NA,NA,NA
gen_msch,shdi,msch,NA,NA,NA
gen_lgnic,shdi,lgnic,NA,NA,NA
gen_lifeexp,shdi,lifeexp,NA,NA,NA
gen_shdi,shdi,shdi,NA,T,NA
gen_altitude,?,altitude,NA,NA,NA
gen_ruggedness,?,ruggedness,NA,NA,NA
gen_ghsl_pop,ghsl,ghsl_pop,NA,NA,NA
gen_asap,asap,asap,NA,NA,NA
gen_viirs_nl,viirs,viirs_nl,NA,NA,NA
gen_ndvi_gs,ndvi,ndvi_gs,NA,NA,NA
gen_ttime,nelson,ttime,NA,NA,NA
gen_globeland30_artificial,globeland30,artificial,NA,NA,NA
gen_globeland30_forest,globeland30,forest,NA,NA,NA
gen_globeland30_cultivated,globeland30,cultivated,NA,NA,NA
gen_globeland30_shrub,globeland30,shub,NA,NA,NA
gen_globeland30_wetland,globeland30,wetland,NA,NA,NA
gen_globeland30_grassland,globeland30,grassland,NA,NA,NA
gen_globeland30_bareland,globeland30,bareland,NA,NA,NA
gen_globeland30_snow,globeland30,snow,NA,NA,NA
gen_globeland30_tundra,globeland30,tundra,NA,NA,NA
gen_spam_cropland,spam,cropland,NA,NA,NA
gen_ftp_cropland,ftp,ftp_cropland,NA,NA,NA
gen_ftp_pastureland,ftp,ftp_pastureland,NA,NA,NA
gen_aqueduct,aqueduct,aqueduct,NA,NA,NA
